Southern Hemisphere Land Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
197806,0.02
197807,0.59
197808,-0.03
197809,-0.03
197810,0.08
197811,0.10
197812,-0.01
197901,0.38
197902,0.23
197903,0.19
197904,0.30
197905,0.04
197906,0.18
197907,0.21
197908,0.72
197909,0.08
197910,0.41
197911,0.33
197912,0.46
198001,0.34
198002,0.33
198003,0.78
198004,0.66
198005,0.75
198006,0.26
198007,0.31
198008,0.56
198009,0.38
198010,0.33
198011,0.31
198012,0.39
198101,0.26
198102,0.23
198103,0.06
198104,0.52
198105,0.52
198106,-0.06
198107,0.25
198108,0.50
198109,0.17
198110,-0.11
198111,0.18
198112,0.31
198201,0.31
198202,0.24
198203,0.10
198204,0.14
198205,0.28
198206,0.02
198207,0.29
198208,0.58
198209,0.29
198210,-0.01
198211,0.42
198212,0.58
198301,0.72
198302,1.05
198303,0.74
198304,0.65
198305,0.88
198306,0.34
198307,0.23
198308,0.33
198309,0.64
198310,0.39
198311,0.30
198312,0.38
198401,0.03
198402,0.32
198403,0.26
198404,0.11
198405,0.62
198406,-0.02
198407,0.20
198408,0.06
198409,0.05
198410,0.42
198411,0.11
198412,0.05
198501,0.38
198502,0.32
198503,0.59
198504,0.19
198505,0.38
198506,0.12
198507,0.14
198508,0.47
198509,0.13
198510,0.29
198511,0.36
198512,0.15
198601,0.29
198602,0.42
198603,0.52
198604,0.63
198605,0.81
198606,0.45
198607,0.29
198608,0.39
198609,0.22
198610,0.03
198611,0.17
198612,0.36
198701,0.53
198702,0.52
198703,0.50
198704,0.95
198705,0.45
198706,0.69
198707,0.94
198708,0.28
198709,0.40
198710,0.67
198711,0.82
198712,0.50
198801,0.81
198802,0.45
198803,0.84
198804,0.53
198805,0.49
198806,0.39
198807,0.22
198808,0.68
198809,0.57
198810,0.71
198811,0.20
198812,0.10
198901,0.05
198902,0.28
198903,0.12
198904,0.29
198905,0.27
198906,0.18
198907,0.07
198908,0.29
198909,0.26
198910,0.30
198911,0.23
198912,0.49
199001,0.48
199002,0.17
199003,0.66
199004,0.61
199005,0.59
199006,0.22
199007,0.45
199008,0.43
199009,-0.05
199010,0.65
199011,0.94
199012,0.62
199101,0.39
199102,0.56
199103,0.49
199104,0.61
199105,0.72
199106,0.92
199107,0.45
199108,0.40
199109,0.53
199110,0.45
199111,0.27
199112,0.35
199201,0.37
199202,0.60
199203,0.84
199204,0.70
199205,0.64
199206,0.75
199207,0.09
199208,0.14
199209,0.14
199210,0.13
199211,-0.20
199212,0.18
199301,0.42
199302,0.04
199303,0.52
199304,0.64
199305,0.51
199306,0.41
199307,0.62
199308,0.39
199309,0.36
199310,0.40
199311,0.43
199312,0.23
199401,0.36
199402,0.10
199403,0.11
199404,0.38
199405,0.67
199406,0.53
199407,0.30
199408,0.18
199409,0.68
199410,0.47
199411,0.53
199412,0.83
199501,0.55
199502,0.40
199503,0.38
199504,0.22
199505,0.38
199506,0.58
199507,0.80
199508,0.85
199509,0.84
199510,0.48
199511,0.60
199512,0.28
199601,0.33
199602,0.36
199603,0.44
199604,0.38
199605,0.55
199606,0.50
199607,0.31
199608,0.83
199609,0.46
199610,0.60
199611,0.33
199612,0.43
199701,0.22
199702,0.29
199703,0.12
199704,0.21
199705,0.30
199706,0.69
199707,0.60
199708,0.62
199709,1.12
199710,0.77
199711,0.83
199712,0.90
199801,0.86
199802,1.14
199803,1.11
199804,1.04
199805,1.05
199806,1.04
199807,1.18
199808,1.06
199809,0.66
199810,0.77
199811,0.45
199812,0.44
199901,0.59
199902,0.58
199903,0.66
199904,0.07
199905,0.45
199906,0.67
199907,0.64
199908,0.58
199909,0.81
199910,0.45
199911,0.05
199912,0.12
