year,month,temperature
1957,03,-0.46
1957,04,0.79
1957,05,-0.11
1957,06,1.64
1957,07,-1.11
1957,08,-0.14
1957,09,-0.46
1957,10,0.52
1957,11,0.53
1957,12,0.42
1958,01,0.01
1958,02,0.43
1958,03,0.48
1958,04,1.04
1958,05,1.81
1958,06,0.28
1958,07,0.52
1958,08,0.37
1958,09,-1.22
1958,10,-0.32
1958,11,0.11
1958,12,-0.35
1959,01,0.31
1959,02,0.18
1959,03,0.72
1959,04,0.54
1959,05,-0.03
1959,06,0.38
1959,07,0.39
1959,08,0.45
1959,09,0.28
1959,10,0.11
1959,11,1.17
1959,12,-0.55
1960,01,0.56
1960,02,-0.23
1960,03,-0.05
1960,04,-0.07
1960,05,-1.59
1960,06,-0.68
1960,07,0.13
1960,08,-1.04
1960,09,-0.51
1960,10,0.25
1960,11,-0.7
1960,12,-0.14
1961,01,0.16
1961,02,0.03
1961,03,0.42
1961,04,0.88
1961,05,-0.18
1961,06,-0.01
1961,07,-0.59
1961,08,-0.71
1961,09,0.58
1961,10,1.0
1961,11,0.13
1961,12,0.47
1962,01,-0.04
1962,02,0.02
1962,03,-0.21
1962,04,-0.06
1962,05,-0.55
1962,06,1.34
1962,07,0.43
1962,08,-0.33
1962,09,-0.17
1962,10,-0.07
1962,11,0.63
1962,12,-0.1
1963,01,-0.58
1963,02,-0.07
1963,03,0.43
1963,04,-0.46
1963,05,0.28
1963,06,-0.2
1963,07,-0.33
1963,08,-0.11
1963,09,-0.1
1963,10,0.14
1963,11,-0.03
1963,12,0.3
1964,01,-0.1
1964,02,-0.39
1964,03,0.26
1964,04,0.38
1964,05,-0.11
1964,06,0.34
1964,07,0.75
1964,08,0.2
1964,09,0.44
1964,10,-1.06
1964,11,-0.43
1964,12,-0.97
1965,01,-0.06
1965,02,1.06
1965,03,-0.17
1965,04,-0.41
1965,05,0.45
1965,06,0.32
1965,07,-0.87
1965,08,0.18
1965,09,0.64
1965,10,0.63
1965,11,0.12
1965,12,0.27
1966,01,-0.22
1966,02,-0.12
1966,03,0.13
1966,04,0.48
1966,05,-0.64
1966,06,0.27
1966,07,-0.36
1966,08,-0.76
1966,09,-0.39
1966,10,-1.0
1966,11,-0.18
1966,12,-0.78
1967,01,0.15
1967,02,-0.63
1967,03,-1.24
1967,04,0.53
1967,05,0.31
1967,06,0.01
1967,07,-0.53
1967,08,-0.66
1967,09,-0.34
1967,10,1.38
1967,11,0.34
1967,12,-0.31
1968,01,0.33
1968,02,0.19
1968,03,0.27
1968,04,0.71
1968,05,-1.07
1968,06,0.43
1968,07,-0.66
1968,08,-0.89
1968,09,-0.55
1968,10,-0.15
1968,11,-0.08
1968,12,-0.62
1969,01,0.94
1969,02,0.19
1969,03,-0.01
1969,04,0.01
1969,05,0.23
1969,06,-0.23
1969,07,0.75
1969,08,0.56
1969,09,-1.28
1969,10,0.76
